muni_co,muni,dep_co,dep,votval,abelardo,ivan,paloma,votant
15286,TIBIRITA,15,CUNDINAMARCA,1805,1041,483,168,1823
25093,TIBU,25,NORTE DE SAN,18766,9958,6001,676,19240
13058,TIERRALTA,13,CORDOBA,28420,9331,17296,629,28743
11091,TIMBIQUI,11,CAUCA,7025,243,6622,74,7059
19088,TIMANA,19,HUILA,9931,6361,1979,939,10041
07310,TINJACA,07,BOYACA,2278,1237,732,162,2289
11088,TIMBIO,11,CAUCA,18702,5200,10696,1591,19192
05113,TIQUISIO (PTO. RICO),05,BOLIVAR,5086,2490,2255,152,5142
07311,TIPACOQUE,07,BOYACA,1960,1268,394,215,1981
01274,TITIRIBI,01,ANTIOQUIA,4008,1933,858,816,4087
07313,TOCA,07,BOYACA,4866,2430,1443,514,4950
15289,TOCAIMA,15,CUNDINAMARCA,7023,3692,2157,642,7129
07316,TOGUI,07,BOYACA,2288,1471,440,262,2326
15292,TOCANCIPA,15,CUNDINAMARCA,32953,9762,16891,2441,33627
25094,TOLEDO,25,NORTE DE SAN,7751,6179,771,359,7846
01277,TOLEDO,01,ANTIOQUIA,1729,822,426,218,1820
27211,TONA,27,SANTANDER,3717,2672,567,271,3769
07319,TOPAGA,07,BOYACA,2440,1460,580,235,2471
15295,TOPAIPI,15,CUNDINAMARCA,2116,1420,328,266,2144
11094,TORIBIO,11,CAUCA,15554,759,14215,203,15768
31100,TORO,31,VALLE,6109,3042,1608,945,6250
07322,TOTA,07,BOYACA,2153,1410,411,210,2180
11097,TOTORO,11,CAUCA,8069,813,6753,209,8188
46865,TRINIDAD,46,CASANARE,5887,4167,946,535,5949
88785,TRINIDAD Y TOBAGO,88,CONSULADOS,160,91,31,13,160
28320,TOLUVIEJO,28,SUCRE,11717,4034,7028,328,11808
03058,TUBARA,03,ATLANTICO,5979,2085,3576,125,6017
31103,TRUJILLO,31,VALLE,8643,4086,2863,1059,8816
